group,metric,value,denominator_unit,scope_dataset,claim_id,source_artifact,source_hash,system_spec_sha256
data_quality,active_replays,949,replay,ACTIVE_949,DATA_001,data/metadata/results_v3_clean.csv,551703054575967c848a444bf8c5675437b0e806bf4b15b0d5cd2a8338798665,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
data_quality,active_beatmaps,34,beatmap,ACTIVE_949,DATA_001,data/metadata/results_v3_clean.csv,551703054575967c848a444bf8c5675437b0e806bf4b15b0d5cd2a8338798665,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
data_quality,weighted_match_ratio,0.9922218795369235,matched note,ACTIVE_949,MATCH_001,data/metadata/results_v3_clean.csv,551703054575967c848a444bf8c5675437b0e806bf4b15b0d5cd2a8338798665,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
data_quality,median_replay_match_ratio,1.0,replay,ACTIVE_949,MATCH_001,data/metadata/results_v3_clean.csv,551703054575967c848a444bf8c5675437b0e806bf4b15b0d5cd2a8338798665,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
distributed,validation_raw_ber_five_layouts,0.042139,coded bit,original validation,DECODER_001,results/decoder_error_analysis_v1/error_summary.csv,cbda509868c02361d14d120c6246abfabde9a53fe406a578439cdb8940b43940,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
distributed,unseen_map_FULL29_AUC_range,0.5966–0.6144,layout,original map-disjoint validation,DIST_002,results/adaptive_layout_strong_v1/dev_to_validation_auc_by_seed.csv,67fbed5d1dcad5f6dfcc154f17b295a0613e75b07767874054ec6f28f3164599,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
secded,equal_useful_full_recovery_gain_pp,18.0,replay-layout configuration,80-replay panel,ECC_001,results/ecc_equal_payload_v1/paired_recovery.csv,4f1d8dfa35e2f30bfa0739a65b84ee4f7a3c637149d893baaabd162b66d12ef2,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
secded,coding_rate,0.5,useful/coded bit,code definition,ECC_001,osu_stego/stego/ecc.py,31b269b6b931de18ce5e51f42322013c31747fa44be8188a6fbe85775587093a,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
integrity,wrong_accept_baseline,14/835 (1.68%),physical configuration,167 validation replays × 5,INT_001,results/ecc_integrity_validation_v1/summary.csv,54e70a16ac72e95032e3c1c985cf17b3eb9f3a4cb56d5ad518ee94fe24b37f54,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
integrity,wrong_accept_final,1/835 (0.12%),physical configuration,167 validation replays × 5,INT_001,results/ecc_integrity_validation_v1/summary.csv,54e70a16ac72e95032e3c1c985cf17b3eb9f3a4cb56d5ad518ee94fe24b37f54,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
integrity,final_correct_accept,716/835 (85.75%),physical configuration,167 validation replays × 5,INT_001,results/ecc_integrity_validation_v1/summary.csv,54e70a16ac72e95032e3c1c985cf17b3eb9f3a4cb56d5ad518ee94fe24b37f54,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
integrity,final_reject,118/835 (14.13%),physical configuration,167 validation replays × 5,INT_001,results/ecc_integrity_validation_v1/summary.csv,54e70a16ac72e95032e3c1c985cf17b3eb9f3a4cb56d5ad518ee94fe24b37f54,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
capacity,new_corpus_normal_eligibility,135/300 (45%),input replay,new primary corpus,FLOOR_001,results/one_codeword_floor_validation_v1/system_metrics_summary.csv,2f5c64fb690316f70b913e6cafa1cbd7828c62b844aa3a66a92f33227e9a7074,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
capacity,floor_decision,rejected,method,new primary corpus,FLOOR_001,results/one_codeword_floor_validation_v1/reliability_by_class.csv,ceac9698102e9567cd0e4eff79b38f5e902254e5896449735918a92609e6af02,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
steganalysis,FULL29_replay_grouped_classifier_range,0.603–0.635,classifier,203 consumed replay pairs,CLF_001,results/classifier_family_robustness_v1/auc_replay_grouped.csv,51554854f08fad75fd1c4de96f900756d57a345810c76e32b519b1537f84b96c,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
steganalysis,FULL29_unseen_classifier_range,0.603–0.634,classifier,135 unseen-map replay pairs,CLF_001,results/classifier_family_robustness_v1/auc_dev_to_validation.csv,2d405f37cc773d438f3e228bb1141c0e1196a9ff6d3468eb77dc26d6da0e86d8,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
pn,phase2_mean_SD_range,5.136%; 0.478 pp; 4.087–6.190%,PN key,"30 keys, 68 replays, 3 layouts",PN_001,results/pn_key_robustness_phase2_v1/combined_distribution_summary.csv,912e2856398e972dc477cde734ac2bea609b0e27688d64d39c603f6eb351e692,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
pn,historical_position,-0.036 SD; rank 13/30,PN key,common design,PN_002,results/pn_key_robustness_phase2_v1/historical_key_position.csv,77b03ef4c51203567abb6792b2d7d4cdf203c3ca86f2619b4cafa7d9be658f42,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
message,BER_range_SD,5.769–7.131%; SD 0.498 pp,message family,100 replays × 3 layouts,MSG_001,results/message_content_robustness_v1/reliability_by_message.csv,8cbc6019cdc327b1dc86f0f6c42ceb7da27c2533b5b6be18219b8cf4c2b4e500,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
message,FULL29_RF_range,0.560–0.575,message family,reused K=1 panel,MSG_001,results/message_content_robustness_v1/detector_by_message.csv,cc6527c3a5fe3b321daf62cd500510502b7d6f19e16e3d8d5f55388565b77e71,b99790fe0b39813e2c0a9777d7b98f05c69f2f3c5b43e3322a028bd78c0c7038
